uuid	hierarchy_id	node_id
c2d2e2c6-6629-4cc4-a67a-b5c40d416d0e	csa-book	13.1.3
ea8eac0a-8200-4e67-9bf6-5d572f88e791	csa-book	13.1.3
65b1c6f0-2482-484d-bbf5-5b23632468e3	csa-book	13.1.4
9eb1ebb9-1eff-47d4-8184-09b686b93014	csa-book	13.1.4
133b2b8c-01c7-42d1-a7c0-ad069fb897c2	csa-book	13.1.7
52192675-1aca-4537-a33a-03a4a740349a	csa-book	13.1.7
e175445c-72fb-4d00-b7fd-7154af16fe10	csa-book	13.2.2
11b3491b-6cf0-4419-8e4a-98f5d7f42ae1	csa-book	13.2.2
1343971a-d7e9-4440-b367-1f69056369c0	csa-book	13.2.2
96204ddb-58b3-4677-b7dd-0de363342699	csa-book	13.2.2
b306f6dd-f43d-4078-9e4a-ede41bd6f085	csa-book	13.2.2
e80318fe-b5f1-4cfe-bbe0-f48ebdc60212	csa-book	13.2.2
80aa4074-1de5-434a-92bf-12739f39145f	csa-book	13.3.1
c20be1b6-5a72-42e3-a52e-d19fb3e9cbeb	csa-book	13.3.1
f08c561d-7f2a-4a33-a57c-e36cc86570b6	csa-book	13.3.1
012121cb-e00e-4fcf-a0d7-ab0cdd675cc3	csa-book	13.3.3
c5212f86-4cfe-4fc7-9a9a-b1a58f5b2310	csa-book	13.3.3
19494040-d06e-4fb0-ba96-de4eb58fffc7	csa-book	13.3.4
eb1d85fb-6364-4431-9992-c8760cc3c2d2	csa-book	13.3.4
7a4bb7b4-dab4-49a1-82d8-9265d61f8c51	csa-book	13.3.6
8591041b-3cb3-4558-93b7-1a531b55905b	csa-book	13.3.6
9d518b81-c137-45d5-bcc9-e3ed8b8ecb2e	csa-book	2.1.1
c7ebc916-9b70-4688-bea3-5b562bf41cce	csa-book	2.1.1
c9791928-299a-4b38-8731-2d48175eec2e	csa-book	2.1.1
f3449277-7275-4bda-8e58-eea5bcd5c84a	csa-book	2.1.2
456cc048-2d48-4d2e-ba5c-95742d965431	csa-book	2.1.3
b30b4726-11e6-486e-b042-01bcefdae245	csa-book	2.1.3
735b058a-b8a2-4b96-8bba-60081d9a6a90	csa-book	2.2.1
243fafdb-3ad1-4371-85aa-c3332295eacc	csa-book	2.2.2
94fbea0a-df96-48c1-8305-176d90120069	csa-book	2.2.2
d3d37147-b4d5-433f-a030-66e4f4593c4a	csa-book	2.2.2
efacbc6b-92ab-4b72-a2ae-62f159c5cd9d	csa-book	2.2.2
6887a13e-97b9-40eb-81ec-c0d4cf0fecd7	csa-book	2.2.3
adbc2a75-43f4-4aaa-998b-dce0186c0b0e	csa-book	2.2.3
f057a634-a914-4c1c-92de-3b90c65784b0	csa-book	2.2.4
0d9de022-3a91-477e-b001-3f7c25f4ebff	csa-book	2.2.5
993d25cf-b0b4-4447-aca8-0a542f1882fa	csa-book	2.2.5
1cb11bbb-d03c-4d93-bf43-80499e162124	csa-book	2.3.1
32e8671d-0213-4b34-bf07-ca067bc20745	csa-book	2.3.1
3b7570a3-6d8f-46fa-96f7-1abc9c0b7103	csa-book	2.3.1
53736f6b-d4c8-4575-baa7-95a028cca79a	csa-book	2.3.1
ab994270-9072-4494-b956-85ec4d239a61	csa-book	2.3.1
369fbb3c-0ca3-4c90-aef4-3564819f6545	csa-book	2.3.2
d1819054-ecd6-4245-9f79-a3b420db8ff3	csa-book	2.3.2
99d49db5-5459-487b-91e3-cc67dbb23aa4	csa-book	2.3.3
8aba3490-639b-4515-b362-376477b6822b	csa-book	2.3.4
c2200661-11df-47c1-ae40-f233709ecdc3	csa-book	2.3.4
67ee4588-9434-4eb2-b91d-07a27bbb5f1d	csa-book	2.4.1
c44ec26e-b4f2-4ceb-bca2-503267241b6d	csa-book	2.4.2
1c9c9436-3b9c-4b18-9177-e2c4db4f562f	csa-book	2.4.3
9690e8d4-9d6a-4878-bfc4-574a55d36b87	csa-book	2.4.3
cb9aac7f-f39e-4c2e-8e54-4ed8d7ecf84c	csa-book	2.4.3
d3c5c770-56b6-46f1-8179-ba04f812027e	csa-book	2.4.3
71037e1b-ffa9-4936-9a49-b065e5e9eddf	csa-book	2.5.1
902ed0fb-3ea4-49b7-9360-5cd4e95200a3	csa-book	2.5.1
9a3e89cd-c171-4366-9d65-a0c53d4c725a	csa-book	2.5.2
f9f236f7-c6bf-4079-a579-14fa962f72d9	csa-book	2.5.2
4d330f38-1c8d-48f5-afe0-0c8148624610	csa-book	2.5.3
5051e7b0-a644-45f2-a668-ff3eb4e264b2	csa-book	2.5.3
0bfe5c1c-41b3-4844-acb0-a51b7b231c58	csa-book	2.5.4
30e12cca-8724-40ff-8b18-7fbab0befebb	csa-book	2.5.4
